,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
6930, Jon Boats,Power,,,Aluminum,Flat,,14',"Dallas, PA",Crestliner,,Other,2017,Crestliner,CR 1448MT,Request,2017
6931, Jon Boats,Power,,,Aluminum,Flat,,14',"Hewitt, NJ",Crestliner,,Other,2017,Crestliner,CR 1448MT,Request,2017
6932, Jon Boats,Power,Gas,,Aluminum,Flat,,14',"Quakertown,, PA",Crestliner,,Single Outboard,2017,Crestliner,1448MT CR Jon,"$2,145",2017
6933, Jon Boats,Power,Gas,,Aluminum,Flat,,14',"Quakertown,, PA",Crestliner,,Single Outboard,2017,Crestliner,1448MT CR Jon,"$2,145",2017
6934, Jon Boats,Power,,,Aluminum,Flat,,14',"Ogdensburg, NY",Crestliner,,Other,2017,Crestliner,CR 1448MT,Request,2017
6935, Jon Boats,Power,,,Aluminum,Flat,,14',"North East, MD",Crestliner,,Other,2017,Crestliner,CR 1448MT,Request,2017
6936, Jon Boats,Power,Gas,,Aluminum,Flat,,14',"Quakertown,, PA",Crestliner,,Single Outboard,2017,Crestliner,1448MT CR Jon,"$2,145",2017
6937, Jon Boats,Power,,,Aluminum,Flat,,14',"Endicott, NY",Crestliner,,Other,2017,Crestliner,CR 1448T,Request,2017
6938, Jon Boats,Power,,,Aluminum,Flat,,14',"Auburn, NY",Crestliner,,Other,2017,Crestliner,CR 1448T,Request,2017
6939, Jon Boats,Power,,,Aluminum,Flat,,14',"Dallas, PA",Crestliner,,Other,2017,Crestliner,CR 1448T,Request,2017
6940, Jon Boats,Power,,,Aluminum,Flat,,14',"Hewitt, NJ",Crestliner,,Other,2017,Crestliner,CR 1448T,Request,2017
6941, Jon Boats,Power,,,Aluminum,Flat,,14',"Ogdensburg, NY",Crestliner,,Other,2017,Crestliner,CR 1448T,Request,2017
6942, Jon Boats,Power,,,Aluminum,Flat,,14',"North East, MD",Crestliner,,Other,2017,Crestliner,CR 1448T,Request,2017
6943, Freshwater Fishing,Power,Gas,,Aluminum,Modified Vee,,14',"Quakertown,, PA",Crestliner,,Single Outboard,2017,Crestliner,CRV 1457,"$1,623",2017
6944, Freshwater Fishing,Power,Gas,,Aluminum,Modified Vee,,14',"Quakertown,, PA",Crestliner,,Single Outboard,2017,Crestliner,CRV 1467,"$3,236",2017
6945, Freshwater Fishing,Power,Gas,,Aluminum,Modified Vee,,14',"Quakertown,, PA",Crestliner,,Single Outboard,2017,Crestliner,CRV 1467,"$2,393",2017
6946, Aluminum Fish Boats,Power,,,Aluminum,,,14',"Schroon Lake, NY",Duranautic,,Single Outboard,2007,Duranautic,14,"$2,700",2007
6947, Center Consoles,Power,Other,,Aluminum,Other,,14',"Milton, PA",Duranautic,,Other,1978,Duranautic,14,"$1,895",1978
6948, Aluminum Fish Boats,Power,Gas,GMM07555H001,Aluminum,Deep Vee,,14',"Clayton, NY",Duranautic,,Other,2001,Duranautic,B14 Side Console,"$3,195",2001
6949, Jon Boats,Power,,GEN32915L617,Aluminum,,99 year,14',"Clayton, NY",G3,,Other,2017,G3,1436 Jon,"$1,195",2017
6950, Jon Boats,Power,Other,,Aluminum,Other,,14',"North East, MD",G3,,Other,2015,G3,Jon Boat 1436,Request,2015
6951, Jon Boats,Power,Other,,Aluminum,Other,,14',"North East, MD",G3,,Other,2015,G3,Jon Boat 1442,Request,2015
6952, Jon Boats,Power,,GEN23462L516,Aluminum,Flat,99 year,14',"Clayton, NY",G3,,Other,2016,G3,1448LW,"$1,995",2016
6953, Jon Boats,Power,Other,,Other,Other,,14',"North East, MD",G3,,Other,2017,G3,1544 LW,Request,2017
6954, Center Consoles,Power,Other,,Aluminum,Other,,14',"North East, MD",G3,,Other,2015,G3,Angler Deep-V Guide V14 XT,Request,2015
6955, Center Consoles,Power,Other,,Aluminum,Other,,14',"North East, MD",G3,,Other,2015,G3,Angler Deep-V Guide V14 CXT,Request,2015
6956, Aluminum Fish Boats,Power,,GEN24976A616,Aluminum,,,14',"Clayton, NY",G3,,Other,2016,G3,V14LT,"$1,495",2016
6957, Aluminum Fish Boats,Power,,GEN24983A616,Aluminum,Deep Vee,99 year,14',"Clayton, NY",G3,,Other,2016,G3,V14LT,"$1,495",2016
6958, Freshwater Fishing,Power,,GEN05590F314,Aluminum,,99 year,14',"Clayton, NY",G3,,Other,2014,G3,V14XT,"$1,795",2014
6959, Freshwater Fishing,Power,,GEN05585F314,Aluminum,,99 year,14',"Clayton, NY",G3,,Other,2014,G3,V14XT,"$1,795",2014
6960, Freshwater Fishing,Power,,GEN05585F314,Aluminum,,99 year,14',"Clayton, NY",G3,,Other,2014,G3,V14XT,"$1,795",2014
6961, Freshwater Fishing,Power,Gas,,Aluminum,Displacement,,14',"Quakertown,, PA",Grumman,,Other,1968,Grumman,open fish,$895,1968
6962, Kayak,Small Boats,,US-HCCLC782H516,Other,,,14',"Elkton, MD",Hobie,,Other,2016,Hobie,Oasis Dune,Request,2016
6963, Skiff,Power,Gas,,Fiberglass,Flat,,14',"Rowayton, CT",Key West,,Other,2010,Key West,146,"$11,999",2010
6964, Jon Boats,Power,Gas,,Aluminum,Flat,,14',"Bloomsburg, PA",Polar Kraft,,Other,2001,Polar Kraft,1448,"$1,995",2001
6965, Jon Boats,Power,Gas,,Aluminum,Flat,,14',"Duncannon, PA",Lowe,,Single Outboard,2017,Lowe,L1436L,$699,2017
6966, Jon Boats,Power,Gas,,Aluminum,Flat,,14',"Duncannon, PA",Lowe,,Single Outboard,2017,Lowe,L1436L,$699,2017
6967, Jon Boats,Power,Gas,,Aluminum,Flat,,14',"Duncannon, PA",Lowe,,Single Outboard,2017,Lowe,L1436L,$699,2017
6968, Jon Boats,Power,Gas,,Aluminum,Flat,,14',"Duncannon, PA",Lowe,,Single Outboard,2016,Lowe,L1436L,"$1,049",2016
6969, Center Consoles,Power,Other,,Aluminum,Other,,14',"Milton, PA",Lowe,,Other,2014,Lowe,V1467,Request,2014
6970, Center Consoles,Power,Other,,Other,Other,,14',"Milton, PA",Lund,,Other,2016,Lund,A 14,Request,2016
6971, Aluminum Fish Boats,Power,Gas,LUNS0209G596,Aluminum,,,14',"Clayton, NY",Lund,,Other,1996,Lund,14 Laker,"$4,495",1996
6972, Center Consoles,Power,Other,,Aluminum,Other,,14',"Milton, PA",MirroCraft,,Other,1996,MirroCraft,14' TILLER,"$2,995",1996
6973, Center Consoles,Power,Other,,Aluminum,Other,,14',"Schnectady, NY",MirroCraft,,Other,2014,MirroCraft,3654 Utility V,"$2,499",2014
6974, Jon Boats,Power,Other,,Aluminum,Other,,14',"Schnectady, NY",MirroCraft,,Other,2016,MirroCraft,4604 Utility V,"$1,950",2016
6975, Center Consoles,Power,Other,,Aluminum,Other,,14',"Schnectady, NY",MirroCraft,,Other,2017,MirroCraft,4650S Deep Fisherman,Request,2017
6976, Center Consoles,Power,Other,,Aluminum,Other,,14',"Milton, PA",Sea Nymph,,Other,1998,Sea Nymph,140BT,"$5,495",1998
6977, Deck Boats,Power,Other,,Aluminum,Other,,14',"Milton, PA",Sea Nymph,,Other,1994,Sea Nymph,175 GLS,"$6,495",1994
6978, Utility Boats,Power,,,Aluminum,Modified Vee,,14',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Fisherman,Request,2017
6979, Utility Boats,Power,,,Aluminum,Modified Vee,,14',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Fisherman,Request,2017
6980, Cruisers,Power,Gas,,Other,,,14',"Sodus Point, NY",Silverton,,Other,1977,Silverton,34 Sedan,"$14,900",1977
6981, Aluminum Fish Boats,Power,,,Aluminum,,,14',"Schroon Lake, NY",Starcraft,,Other,2017,Starcraft,Seafarer 14 Split,"$6,539",2017
6982, Freshwater Fishing,Power,,,Aluminum,,,14',"Cicero, NY",Starcraft,,Other,2000,Starcraft,SF 14,"$2,995",2000
6983, Aluminum Fish Boats,Power,Gas,,Aluminum,Other,,14',"Henryville, PA",Starcraft,,Single Outboard,2000,Starcraft,Starfire 140,"$5,800",2000
6984, Center Consoles,Power,Other,,Aluminum,Other,,14',"Milton, PA",Starcraft,,Other,1996,Starcraft,Superfisherman 140,"$5,495",1996
6985, Center Consoles,Power,Other,,Aluminum,Other,,14',"Milton, PA",Starcraft,,Other,1974,Starcraft,Deep 14V,"$1,995",1974
6986, Freshwater Fishing,Power,Gas,,Aluminum,Deep Vee,,14',"Hawley, PA",Starweld,,Single Outboard,2017,Starweld,140 PRO MAG CONSOLE,"$12,995",2017
6987, Freshwater Fishing,Power,Gas,,Aluminum,Deep Vee,,14',"Hawley, PA",Starweld,,Single Outboard,2017,Starweld,140 PRO MAG CONSOLE,"$11,269",2017
6988, Skiff,Power,Gas,,Fiberglass,Flat,,14',"Duncannon, PA",Sundance,,Single Outboard,2003,Sundance,14' Skiff center console,"$6,995",2003
6989, Jon Boats,Power,Other,,Aluminum,Other,,14',"Rochester, NY",Tracker,,Other,2017,Tracker,Guide V-14 Deep V,"$1,749",2017
6990, Jon Boats,Power,Other,,Other,Other,,14',"Rochester, NY",Tracker,,Other,2017,Tracker,Guide V-14 Deep V,"$5,095",2017
6991, Jon Boats,Power,Other,,Aluminum,Other,,14',"Rochester, NY",Tracker,,Other,2017,Tracker,Guide V-14 Deep V,"$5,095",2017
6992, Jon Boats,Power,,BUJ40843E718,Aluminum,Flat,,14',"Auburn, NY",Tracker,"

Base Price: $2,799
Freight: $135
Your Price: $2,934

",Single Outboard,2018,Tracker,Grizzly 1448 MVX Jon,"$2,934",2018
6993," Jon Boats, Aluminum Fish Boats",Power,Gas,BUJ48037H718,Aluminum,Modified Vee,99 year,14',"Harrisburg, PA",Tracker,"

Base Price: $2,799
Included Options: $1,260
Freight: $135
Your Price: $4,194

",Single Outboard,2018,Tracker,Grizzly 1448 Jon,"$4,194",2018
6994, Utility Boats,Power,,BUJ13805J516,Aluminum,Flat,,14',"Utica, NY",Tracker,"

Base Price: $2,799
Savings: $200
Special Price: $2,599
Included Options: $1,605
Freight: $135
Your Price: $4,339

",Single Outboard,2016,Tracker,Grizzly 1448 MVX Jon,"$4,339",2016
6995, Jon Boats,Power,Other,,Fiberglass,Other,,14',"Rochester, NY",Tracker,,Other,2016,Tracker,Grizzly 1448 MVX Jon,"$2,799",2016
6996, Utility Boats,Power,,BUJ16058K516,Aluminum,Flat,,14',"Rochester, NY",Tracker,"

Base Price: $2,799
Freight: $135
Your Price: $2,934

",Single Outboard,2016,Tracker,Grizzly 1448 MVX Jon,"$2,934",2016
6997, Jon Boats,Power,Other,,Aluminum,Other,,14',"Rochester, NY",Tracker,,Other,2016,Tracker,Grizzly 1448 MVX Jon,"$4,995",2016
6998, Jon Boats,Power,Other,,Aluminum,Other,,14',"Milton, PA",Tracker,,Other,2007,Tracker,Grizzly 1448 L All-Welded Jon,"$3,995",2007
6999, Jon Boats,Power,Gas,,Aluminum,Flat,,14',"Bloomsburg, PA",WeldBilt,,Single Outboard,2013,WeldBilt,1448,"$3,495",2013
7000, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Endicott, NY",Crestliner,,Other,2017,Crestliner,CRV 1467,Request,2017
7001, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Auburn, NY",Crestliner,,Other,2017,Crestliner,CRV 1467,Request,2017
7002, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Dallas, PA",Crestliner,,Other,2017,Crestliner,CRV 1467,Request,2017
7003, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Hewitt, NJ",Crestliner,,Other,2017,Crestliner,CRV 1467,Request,2017
7004, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Ogdensburg, NY",Crestliner,,Other,2017,Crestliner,CRV 1467,Request,2017
7005, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,14',"North East, MD",Crestliner,,Other,2017,Crestliner,CRV 1467,Request,2017
7006, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Dallas, PA",Lowe,,Other,2017,Lowe,1467 WT Utility V,Request,2017
7007, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Dallas, PA",Lowe,,Other,2017,Lowe,1467 Utility V,Request,2017
7008, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Saugerties, NY",Lowe,,Other,2017,Lowe,1467 WT Utility V,Request,2017
7009, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Saugerties, NY",Lowe,,Other,2017,Lowe,1467 Utility V,Request,2017
7010, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,1467 WT Utility V,Request,2017
7011, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,1467 Utility V,Request,2017
7012, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Fort Ann, NY",Lowe,,Other,2017,Lowe,1467 Utility V,Request,2017
7013, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Fort Ann, NY",Lowe,,Other,2017,Lowe,1467 WT Utility V,Request,2017
7014, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Rosedale, NY",Lowe,,Other,2017,Lowe,1467 WT Utility V,Request,2017
7015, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Rosedale, NY",Lowe,,Other,2017,Lowe,1467 Utility V,Request,2017
7016, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Neptune, NJ",Lowe,,Other,2017,Lowe,1467 WT Utility V,Request,2017
7017, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,14',"Neptune, NJ",Lowe,,Other,2017,Lowe,1467 Utility V,Request,2017
7018, Rigid Sports Inflatable,Small Boats,Gas,,Fiberglass,,,14',"Norwalk, CT",Zodiac RIB,,Other,2017,Zodiac RIB,Bayrunner 420,"$24,995",2017
7019," Utility Boats, Freshwater Fishing, Aluminum Fish Boats",Power,Gas,,Aluminum,Modified Vee,10 year,14',"Brant Lake, NY",Starcraft,,Other,2016,Starcraft,14 SF,"$7,045",2016
7020, Jon Boats,Power,,BUJ12404A717,Aluminum,,,14',"Auburn, NY",Tracker,"

Base Price: $659
Freight: $50
Your Price: $709

",Single Outboard,2017,Tracker,Topper 1436 Riveted Jon,$709,2017
7021, Jon Boats,Power,,BUJ19178D717,Aluminum,,,14',"Auburn, NY",Tracker,"

Base Price: $659
Freight: $50
Your Price: $709

",Single Outboard,2017,Tracker,Topper 1436 Riveted Jon,$709,2017
7022, Jon Boats,Power,,BUJ19024D717,Aluminum,,,14',"Auburn, NY",Tracker,"

Base Price: $659
Freight: $50
Your Price: $709

",Single Outboard,2017,Tracker,Topper 1436 Riveted Jon,$709,2017
7023, Jon Boats,Power,,BUJ18314C717,Aluminum,,,14',"Auburn, NY",Tracker,"

Base Price: $659
Freight: $50
Your Price: $709

",Single Outboard,2017,Tracker,Topper 1436 Riveted Jon,$709,2017
7024, Jon Boats,Power,,BUJ17099C717,Aluminum,,,14',"Utica, NY",Tracker,"

Base Price: $659
Freight: $50
Your Price: $709

",Single Outboard,2017,Tracker,Topper 1436 Riveted Jon,$709,2017
7025, Jon Boats,Power,,BUJ19296D717,Aluminum,,,14',"Rochester, NY",Tracker,"

Base Price: $659
Freight: $50
Your Price: $709

",Single Outboard,2017,Tracker,Topper 1436 Riveted Jon,$709,2017
7026, Jon Boats,Power,,BUJ13547B717,Aluminum,,,14',"Temple, PA",Tracker,,Single Outboard,2017,Tracker,Topper 1436 Riveted Jon,$650,2017
7027, Jon Boats,Power,,BUJ18979A616,Aluminum,,,14',"Grand Island, NY",Tracker,"

Base Price: $659
Freight: $50
Your Price: $709

",Single Outboard,2016,Tracker,Topper 1436 Riveted Jon,$709,2016
7028, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Dallas, PA",Lowe,,Other,2017,Lowe,Jon L1436L,Request,2017
7029, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Dallas, PA",Lowe,,Other,2017,Lowe,Jon L1436,Request,2017
7030, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Saugerties, NY",Lowe,,Other,2017,Lowe,Jon L1436,Request,2017
7031, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Saugerties, NY",Lowe,,Other,2017,Lowe,Jon L1436L,Request,2017
7032, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Jon L1436L,Request,2017
7033, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Jon L1436,Request,2017
7034, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Jon L1436L,Request,2017
7035, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Jon L1436,Request,2017
7036, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Rosedale, NY",Lowe,,Other,2017,Lowe,Jon L1436,Request,2017
7037, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Rosedale, NY",Lowe,,Other,2017,Lowe,Jon L1436L,Request,2017
7038, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Neptune, NJ",Lowe,,Other,2017,Lowe,Jon L1436,Request,2017
7039, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Neptune, NJ",Lowe,,Other,2017,Lowe,Jon L1436L,Request,2017
7040, Jon Boats,Power,,,Aluminum,Modified Vee,,14',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,1436 L,Request,2017
7041, Jon Boats,Power,,,Aluminum,Modified Vee,,14',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,1436 L,Request,2017
7042, Other,Power,Other,,Fiberglass,Flat,,14',"Oceanside, NY",Carolina Skiff,,Other,2012,Carolina Skiff,J 1450 KIT,"$5,200",2012
7043, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Dallas, PA",Lowe,,Other,2017,Lowe,Jon L1448MT,Request,2017
7044, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Dallas, PA",Lowe,,Other,2017,Lowe,Jon L1448M,Request,2017
7045, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Dallas, PA",Lowe,,Other,2017,Lowe,Jon L1448,Request,2017
7046, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Dallas, PA",Lowe,,Other,2017,Lowe,Jon L1440M,Request,2017
7047, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Dallas, PA",Lowe,,Other,2017,Lowe,Jon L1448T,Request,2017
7048, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Saugerties, NY",Lowe,,Other,2017,Lowe,Jon L1448,Request,2017
7049, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Saugerties, NY",Lowe,,Other,2017,Lowe,Jon L1440M,Request,2017
7050, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Saugerties, NY",Lowe,,Other,2017,Lowe,Jon L1448T,Request,2017
7051, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Saugerties, NY",Lowe,,Other,2017,Lowe,Jon L1448MT,Request,2017
7052, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Saugerties, NY",Lowe,,Other,2017,Lowe,Jon L1448M,Request,2017
7053, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Jon L1448,Request,2017
7054, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Jon L1448MT,Request,2017
7055, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Jon L1440M,Request,2017
7056, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Jon L1448M,Request,2017
7057, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Jon L1448T,Request,2017
7058, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Jon L1448M,Request,2017
7059, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Jon L1448,Request,2017
7060, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Jon L1440M,Request,2017
7061, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Jon L1448T,Request,2017
7062, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Jon L1448MT,Request,2017
7063, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Rosedale, NY",Lowe,,Other,2017,Lowe,Jon L1448T,Request,2017
7064, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Rosedale, NY",Lowe,,Other,2017,Lowe,Jon L1448MT,Request,2017
7065, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Rosedale, NY",Lowe,,Other,2017,Lowe,Jon L1448M,Request,2017
7066, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Rosedale, NY",Lowe,,Other,2017,Lowe,Jon L1448,Request,2017
7067, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Rosedale, NY",Lowe,,Other,2017,Lowe,Jon L1440M,Request,2017
7068, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Neptune, NJ",Lowe,,Other,2017,Lowe,Jon L1448T,Request,2017
7069, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Neptune, NJ",Lowe,,Other,2017,Lowe,Jon L1448MT,Request,2017
7070, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Neptune, NJ",Lowe,,Other,2017,Lowe,Jon L1448M,Request,2017
7071, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Neptune, NJ",Lowe,,Other,2017,Lowe,Jon L1448,Request,2017
7072, Jon Boats,Power,,,Aluminum,Modified Vee,99 year,14',"Neptune, NJ",Lowe,,Other,2017,Lowe,Jon L1440M,Request,2017
7073, Runabouts,Power,Gas,,Fiberglass,Modified Vee,10 year,13',"Middletown, PA",Boston Whaler,,Other,2007,Boston Whaler,130 Sport,"$8,900",2007
7074, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,13',"Hawley, PA",APEX MARINE,,Single Outboard,2010,APEX MARINE,713 GILGETTER,"$6,995",2010
7075, Runabouts,Power,Gas,,Fiberglass,Modified Vee,10 year,13',"Buffalo, NY",Boston Whaler,,Other,2017,Boston Whaler,130 Super Sport,Request,2017
7076, Runabouts,Power,,,Fiberglass,Other,,13',"Malvern, PA",Boston Whaler,,Other,2015,Boston Whaler,130 Super Sport,"$12,895",2015
7077, Jon Boats,Power,Other,,Other,Other,,13',"North East, MD",G3,,Other,2017,G3,1448 LW,Request,2017
7078, Kayak,Small Boats,,US-HCCZ5144J415,Other,,,13',"Elkton, MD",Hobie,,Other,2015,Hobie,"Revo 13, Dune",Request,2015
7079, Kayak,Small Boats,,US-HCCZ2267G314,Other,,,13',"Elkton, MD",Hobie,,Other,2014,Hobie,"Revolution 13, Dune",Request,2014
7080, Kayak,Small Boats,,US-HCCTS877E616,Other,,,13',"Elkton, MD",Hobie,,Other,2016,Hobie,"Outback, Dune",Request,2016
7081, Center Consoles,Power,Other,,Aluminum,Other,,13',"Milton, PA",Lowe,,Other,2014,Lowe,V1467T,"$5,995",2014
7082, Center Consoles,Power,Gas,,Wood,,,13',"Sodus Point, NY",Lyman,,Single Outboard,1955,Lyman,13',"$6,900",1955
7083, Pontoon Boats,Power,Other,,Aluminum,Other,,13',"Rochester, NY",Sun Tracker,,Other,2017,Sun Tracker,Bass Buggy 16 DLX,"$14,695",2017
7084, Jon Boats,Power,Other,,Other,Other,,13',"Rochester, NY",Tracker,,Other,2018,Tracker,Topper 1436,"$2,439",2018
7085, Jon Boats,Power,Other,,Other,Other,,13',"Rochester, NY",Tracker,,Other,2017,Tracker,Topper 1436,$659,2017
7086, Utility Boats,Power,,,Aluminum,Modified Vee,,12',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,SeaSprite,Request,2017
7087, Utility Boats,Power,,,Aluminum,Modified Vee,,12',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,SeaSprite,Request,2017
7088, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Endicott, NY",Crestliner,,Other,2017,Crestliner,CRV 1257,Request,2017
7089, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Auburn, NY",Crestliner,,Other,2017,Crestliner,CRV 1257,Request,2017
7090, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Dallas, PA",Crestliner,,Other,2017,Crestliner,CRV 1257,Request,2017
7091, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Hewitt, NJ",Crestliner,,Other,2017,Crestliner,CRV 1257,Request,2017
7092, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Ogdensburg, NY",Crestliner,,Other,2017,Crestliner,CRV 1257,Request,2017
7093, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"North East, MD",Crestliner,,Other,2017,Crestliner,CRV 1257,Request,2017
7094, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,12',"Dallas, PA",Lowe,,Other,2017,Lowe,1257 Utility V,Request,2017
7095, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,12',"Saugerties, NY",Lowe,,Other,2017,Lowe,1257 Utility V,Request,2017
7096, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,12',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,1257 Utility V,Request,2017
7097, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,12',"Fort Ann, NY",Lowe,,Other,2017,Lowe,1257 Utility V,Request,2017
7098, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,12',"Rosedale, NY",Lowe,,Other,2017,Lowe,1257 Utility V,Request,2017
7099, Utility Boats,Power,,,Aluminum,Deep Vee,99 year,12',"Neptune, NJ",Lowe,,Other,2017,Lowe,1257 Utility V,Request,2017
7100, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Endicott, NY",Lund,,Other,2017,Lund,A 12 Tiller,Request,2017
7101, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Endicott, NY",Lund,,Other,2017,Lund,WC 12 Tiller,Request,2017
7102, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Canandaigua, NY",Lund,,Other,2017,Lund,A 12 Tiller,Request,2017
7103, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Canandaigua, NY",Lund,,Other,2017,Lund,WC 12 Tiller,Request,2017
7104, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Brewerton, NY",Lund,,Other,2017,Lund,A 12 Tiller,Request,2017
7105, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Brewerton, NY",Lund,,Other,2017,Lund,WC 12 Tiller,Request,2017
7106, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"New York Mills, NY",Lund,,Other,2017,Lund,WC 12 Tiller,Request,2017
7107, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"New York Mills, NY",Lund,,Other,2017,Lund,A 12 Tiller,Request,2017
